id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
85, 281227.691, 0.436, 0.000, 3306.64, 0.0427, 281227.691, 259, 856420, 18446744073709089240, 171693.169, 109335.946, 198.576, 0.611, 0.394, 0
86, 281156.893, 0.429, 0.000, 3437.11, 0.0478, 281156.893, 253, 869588, 18446744073709084384, 172496.106, 108462.211, 198.576, 0.614, 0.376, 0
87, 281144.185, 0.440, 0.000, 3151.71, 0.0418, 281144.185, 263, 828900, 18446744073709103304, 167518.998, 113426.611, 198.576, 0.596, 0.395, 0
88, 281075.433, 0.432, 0.000, 3253.76, 0.0487, 281075.433, 260, 845977, 18446744073709095768, 168601.987, 112274.870, 198.576, 0.600, 0.371, 0
89, 281077.585, 0.427, 0.000, 3597.12, 0.0498, 281077.585, 246, 884892, 18446744073709074240, 173846.545, 107032.464, 198.576, 0.619, 0.371, 0
90, 281161.183, 0.426, 0.000, 3528.91, 0.0443, 281161.183, 248, 875170, 18446744073709079224, 171586.946, 109375.661, 198.576, 0.610, 0.388, 0
91, 281230.686, 0.433, 0.000, 3237.60, 0.0468, 281230.686, 262, 848252, 18446744073709093888, 168916.101, 112116.010, 198.576, 0.601, 0.377, 0
92, 281239.764, 0.466, 0.000, 2972.29, 0.0453, 281239.764, 265, 787658, 18446744073709125728, 168567.741, 112473.446, 198.576, 0.599, 0.392, 0
93, 281232.161, 0.441, 0.000, 3129.57, 0.0481, 281232.161, 265, 829335, 18446744073709104256, 168401.278, 112632.307, 198.576, 0.599, 0.374, 0
94, 281179.321, 0.462, 0.000, 2847.40, 0.0490, 281179.321, 272, 774492, 18446744073709133392, 164694.640, 116286.106, 198.576, 0.586, 0.375, 0
95, 281091.345, 0.451, 0.000, 3116.82, 0.0435, 281091.345, 263, 819724, 18446744073709109448, 170365.367, 110527.402, 198.576, 0.606, 0.394, 0
96, 281116.971, 0.455, 0.000, 2977.57, 0.0449, 281116.971, 268, 797990, 18446744073709120000, 166538.619, 114379.776, 198.576, 0.592, 0.388, 0
97, 281203.428, 0.438, 0.000, 3121.77, 0.0510, 281203.428, 267, 833513, 18446744073709102288, 168412.260, 112592.592, 198.576, 0.599, 0.364, 0
98, 281170.179, 0.450, 0.000, 3290.54, 0.0514, 281170.179, 254, 835798, 18446744073709100704, 173184.550, 107787.053, 198.576, 0.616, 0.372, 0
99, 281107.506, 0.452, 0.000, 3081.87, 0.0473, 281107.506, 263, 810533, 18446744073709112720, 167958.901, 112950.029, 198.576, 0.597, 0.381, 0
100, 281221.749, 0.421, 0.000, 3610.65, 0.0538, 281221.749, 248, 895442, 18446744073709068392, 173394.981, 107628.192, 198.576, 0.617, 0.356, 0
101, 281227.681, 0.451, 0.000, 3213.39, 0.0467, 281227.681, 256, 822629, 18446744073709107688, 170739.995, 110289.110, 198.576, 0.607, 0.386, 0
102, 281230.655, 0.430, 0.000, 3180.66, 0.0432, 281230.655, 267, 849237, 18446744073709092224, 167486.322, 113545.757, 198.576, 0.596, 0.386, 0
103, 281187.126, 0.438, 0.000, 3437.33, 0.0414, 281187.126, 250, 859332, 18446744073709089448, 174114.947, 106873.603, 198.576, 0.619, 0.404, 0
104, 281063.544, 0.422, 0.000, 3523.88, 0.0491, 281063.544, 252, 888018, 18446744073709072288, 172561.617, 108303.350, 198.576, 0.614, 0.370, 0
105, 281173.191, 0.442, 0.000, 3366.06, 0.0427, 281173.191, 253, 851613, 18446744073709091824, 173068.417, 107906.198, 198.576, 0.616, 0.399, 0
106, 281063.364, 0.431, 0.000, 3388.27, 0.0431, 281063.364, 255, 864010, 18446744073709086112, 171687.703, 109177.085, 198.576, 0.611, 0.392, 0
107, 281240.683, 0.476, 0.000, 2897.26, 0.0489, 281240.683, 266, 770672, 18446744073709136064, 169124.674, 111917.434, 198.576, 0.601, 0.383, 0
108, 281206.394, 0.429, 0.000, 3378.99, 0.0420, 281206.394, 257, 868401, 18446744073709083432, 171671.873, 109335.946, 198.576, 0.610, 0.395, 0
109, 281221.953, 0.444, 0.000, 3266.83, 0.0477, 281221.953, 255, 833041, 18446744073709102416, 170257.685, 110765.693, 198.576, 0.605, 0.380, 0
110, 281223.225, 0.442, 0.000, 3178.86, 0.0475, 281223.225, 261, 829682, 18446744073709102928, 168551.203, 112473.446, 198.576, 0.599, 0.378, 0
111, 281193.694, 0.406, 0.000, 4187.34, 0.0362, 281193.694, 227, 950526, 18446744073709040232, 178212.181, 102782.938, 198.576, 0.634, 0.423, 0
112, 281171.615, 0.422, 0.000, 3520.31, 0.0396, 281171.615, 250, 880077, 18446744073709074760, 170127.915, 110845.123, 198.576, 0.605, 0.403, 0
113, 281157.064, 0.449, 0.000, 3062.95, 0.0451, 281157.064, 265, 811682, 18446744073709114456, 168087.890, 112870.598, 198.576, 0.598, 0.386, 0
114, 281197.119, 0.439, 0.000, 3194.37, 0.0412, 281197.119, 263, 840119, 18446744073709098376, 169756.268, 111242.275, 198.576, 0.604, 0.398, 0
115, 281158.463, 0.433, 0.000, 3368.77, 0.0408, 281158.463, 256, 862404, 18446744073709085056, 171306.220, 109653.667, 198.576, 0.609, 0.401, 0
116, 281230.728, 0.447, 0.000, 3232.40, 0.0517, 281230.728, 257, 830727, 18446744073709104760, 171775.637, 109256.515, 198.576, 0.611, 0.369, 0
117, 281237.604, 0.449, 0.000, 3012.97, 0.0531, 281237.604, 269, 810490, 18446744073709113072, 166937.258, 114101.770, 198.576, 0.594, 0.360, 0
118, 281175.485, 0.445, 0.000, 3186.58, 0.0435, 281175.485, 258, 822137, 18446744073709108952, 168821.184, 112155.725, 198.576, 0.600, 0.393, 0
119, 281221.377, 0.450, 0.000, 3104.00, 0.0439, 281221.377, 264, 819457, 18446744073709109888, 170137.963, 110884.838, 198.576, 0.605, 0.392, 0
120, 281238.418, 0.451, 0.000, 3047.39, 0.0475, 281238.418, 265, 807559, 18446744073709114648, 167017.503, 114022.339, 198.576, 0.594, 0.379, 0
121, 281147.809, 0.434, 0.000, 3284.04, 0.0421, 281147.809, 259, 850566, 18446744073709092920, 170064.394, 110884.838, 198.576, 0.605, 0.394, 0
122, 281189.614, 0.443, 0.000, 3254.66, 0.0417, 281189.614, 257, 836448, 18446744073709100392, 170741.643, 110249.395, 198.576, 0.607, 0.400, 0
123, 281121.766, 0.440, 0.000, 2962.16, 0.0469, 281121.766, 277, 820518, 18446744073709107536, 165629.965, 115293.226, 198.576, 0.589, 0.373, 0
124, 281140.836, 0.443, 0.000, 3168.21, 0.0439, 281140.836, 261, 826903, 18446744073709106240, 169064.542, 111877.718, 198.576, 0.601, 0.390, 0
125, 281239.465, 0.439, 0.000, 3183.24, 0.0425, 281239.465, 265, 843558, 18446744073709096168, 170235.481, 110805.408, 198.576, 0.605, 0.393, 0
126, 281232.060, 0.408, 0.000, 3969.03, 0.0391, 281232.060, 235, 932722, 18446744073709047848, 175033.615, 105999.869, 198.576, 0.622, 0.407, 0
127, 281244.471, 0.434, 0.000, 3165.32, 0.0472, 281244.471, 266, 841976, 18446744073709097224, 168373.872, 112672.022, 198.576, 0.599, 0.374, 0
128, 281100.543, 0.420, 0.000, 4012.09, 0.0399, 281100.543, 228, 914757, 18446744073709057624, 176887.859, 104014.109, 198.576, 0.629, 0.412, 0
129, 281099.377, 0.414, 0.000, 3788.79, 0.0382, 281099.377, 240, 909309, 18446744073709060624, 173232.894, 107667.907, 198.576, 0.616, 0.411, 0
130, 281100.615, 0.433, 0.000, 3318.91, 0.0469, 281100.615, 258, 856280, 18446744073709089896, 170732.074, 110169.965, 198.576, 0.607, 0.378, 0
131, 281190.939, 0.424, 0.000, 3824.48, 0.0395, 281190.939, 235, 898752, 18446744073709065384, 174793.918, 106198.445, 198.576, 0.622, 0.411, 0
132, 281124.915, 0.435, 0.000, 3483.78, 0.0451, 281124.915, 250, 870944, 18446744073709082104, 174449.887, 106476.451, 198.576, 0.621, 0.389, 0
133, 281247.950, 0.462, 0.000, 2944.99, 0.0594, 281247.950, 268, 789258, 18446744073709126600, 168456.782, 112592.592, 198.576, 0.599, 0.348, 0
134, 281200.286, 0.444, 0.000, 3053.69, 0.0424, 281200.286, 269, 821442, 18446744073709107152, 167336.808, 113664.902, 198.576, 0.595, 0.392, 0
135, 281127.241, 0.436, 0.000, 3255.22, 0.0437, 281127.241, 259, 843101, 18446744073709097056, 169289.238, 111639.427, 198.576, 0.602, 0.389, 0
136, 281214.177, 0.441, 0.000, 3218.57, 0.0525, 281214.177, 263, 846484, 18446744073709095328, 171997.377, 109018.224, 198.576, 0.612, 0.363, 0
137, 281219.951, 0.462, 0.000, 2770.23, 0.0494, 281219.951, 278, 770124, 18446744073709134776, 163265.807, 117755.568, 198.576, 0.581, 0.371, 0
138, 281208.411, 0.419, 0.000, 3761.98, 0.0463, 281208.411, 242, 910398, 18446744073709062216, 176558.859, 104450.976, 198.576, 0.628, 0.382, 0
139, 281198.078, 0.462, 0.000, 2758.51, 0.0492, 281198.078, 279, 769625, 18446744073709135336, 163243.934, 117755.568, 198.576, 0.581, 0.371, 0
