id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
254, 281234.425, 1.104, 0.000, 6467.92, 0.0039, 281234.425, 79, 510952, 18446744073709276006, 259865.892, 21168.202, 198.576, 0.924, 0.859
255, 281236.602, 1.103, 0.000, 6476.01, 0.0038, 281236.602, 79, 511591, 18446744073709275646, 259868.069, 21168.202, 198.576, 0.924, 0.859
256, 281207.285, 1.100, 0.000, 6673.34, 0.0039, 281207.285, 77, 513833, 18446744073709274390, 260235.905, 20771.050, 198.576, 0.925, 0.861
257, 281066.333, 1.104, 0.000, 6557.82, 0.0037, 281066.333, 78, 511496, 18446744073709275702, 259975.807, 20890.195, 198.576, 0.925, 0.861
258, 281208.196, 1.100, 0.000, 6489.25, 0.0040, 281208.196, 79, 512637, 18446744073709275046, 259760.233, 21247.632, 198.576, 0.924, 0.858
259, 281178.946, 1.103, 0.000, 6653.96, 0.0040, 281178.946, 77, 512341, 18446744073709275242, 260126.965, 20810.765, 198.576, 0.925, 0.860
260, 281248.009, 1.105, 0.000, 6644.73, 0.0038, 281248.009, 77, 511626, 18446744073709275650, 260354.889, 20691.619, 198.576, 0.926, 0.862
261, 281091.066, 1.103, 0.000, 6469.66, 0.0039, 281091.066, 79, 511085, 18446744073709275926, 259682.819, 21207.917, 198.576, 0.924, 0.859
262, 281249.861, 1.100, 0.000, 6584.40, 0.0038, 281249.861, 78, 513569, 18446744073709274534, 260081.659, 20969.626, 198.576, 0.925, 0.860
263, 281222.593, 1.100, 0.000, 6494.53, 0.0038, 281222.593, 79, 513054, 18446744073709274814, 259893.776, 21128.486, 198.576, 0.924, 0.860
264, 281180.118, 1.107, 0.000, 6450.54, 0.0040, 281180.118, 79, 509579, 18446744073709276786, 259770.700, 21207.917, 198.576, 0.924, 0.858
265, 281131.268, 1.103, 0.000, 6564.31, 0.0037, 281131.268, 78, 511998, 18446744073709275422, 260040.742, 20890.195, 198.576, 0.925, 0.861
266, 281134.810, 1.098, 0.000, 6501.96, 0.0038, 281134.810, 79, 513641, 18446744073709274470, 259766.277, 21168.202, 198.576, 0.924, 0.859
267, 281113.750, 1.099, 0.000, 6582.76, 0.0041, 281113.750, 78, 513441, 18446744073709274598, 259864.363, 21049.056, 198.576, 0.924, 0.859
268, 281139.360, 1.100, 0.000, 6577.12, 0.0038, 281139.360, 78, 513001, 18446744073709274854, 259969.404, 20969.626, 198.576, 0.925, 0.860
269, 281246.871, 1.100, 0.000, 6579.99, 0.0038, 281246.871, 78, 513225, 18446744073709274726, 260076.914, 20969.626, 198.576, 0.925, 0.860
270, 281081.867, 1.100, 0.000, 6579.51, 0.0038, 281081.867, 78, 513188, 18446744073709274742, 259951.626, 20929.910, 198.576, 0.925, 0.860
271, 281189.543, 1.104, 0.000, 6296.75, 0.0041, 281189.543, 81, 510023, 18446744073709276510, 259344.428, 21644.784, 198.576, 0.922, 0.856
272, 281141.149, 1.104, 0.000, 6646.21, 0.0038, 281141.149, 77, 511744, 18446744073709275574, 260249.198, 20691.619, 198.576, 0.926, 0.861
273, 281176.997, 1.102, 0.000, 6393.61, 0.0040, 281176.997, 80, 511475, 18446744073709275694, 259530.458, 21446.208, 198.576, 0.923, 0.857
274, 281077.025, 1.099, 0.000, 6672.32, 0.0041, 281077.025, 77, 513755, 18446744073709274430, 260065.929, 20810.765, 198.576, 0.925, 0.860
275, 281161.070, 1.099, 0.000, 6500.47, 0.0038, 281161.070, 79, 513523, 18446744073709274542, 259792.538, 21168.202, 198.576, 0.924, 0.860
276, 281209.560, 1.099, 0.000, 6584.29, 0.0039, 281209.560, 78, 513561, 18446744073709274534, 259999.889, 21009.341, 198.576, 0.925, 0.860
277, 281206.993, 1.099, 0.000, 6587.97, 0.0037, 281206.993, 78, 513848, 18446744073709274374, 260116.466, 20890.195, 198.576, 0.925, 0.861
278, 281245.895, 1.098, 0.000, 6508.65, 0.0040, 281245.895, 79, 514169, 18446744073709274186, 259876.193, 21168.202, 198.576, 0.924, 0.858
279, 281150.475, 1.099, 0.000, 6495.46, 0.0040, 281150.475, 79, 513123, 18446744073709274770, 259741.058, 21207.917, 198.576, 0.924, 0.858
280, 281213.070, 1.099, 0.000, 6501.73, 0.0039, 281213.070, 79, 513619, 18446744073709274498, 259806.578, 21207.917, 198.576, 0.924, 0.859
281, 281195.781, 1.103, 0.000, 6562.83, 0.0040, 281195.781, 78, 511883, 18446744073709275486, 259986.110, 21009.341, 198.576, 0.925, 0.859
282, 281218.920, 1.100, 0.000, 6670.43, 0.0039, 281218.920, 77, 513609, 18446744073709274518, 260247.540, 20771.050, 198.576, 0.925, 0.861
283, 281095.843, 1.102, 0.000, 6661.95, 0.0038, 281095.843, 77, 512956, 18446744073709274886, 260203.892, 20691.619, 198.576, 0.926, 0.861
284, 281165.685, 1.099, 0.000, 6496.92, 0.0040, 281165.685, 79, 513243, 18446744073709274702, 259757.438, 21207.917, 198.576, 0.924, 0.858
285, 139574.380, 1.104, 0.000, 7350.88, 0.0044, 139574.380, 34, 249916, 18446744073709419336, 127118.956, 9452.218, 198.576, 0.911, 0.849
